Name,FMISID,lat,lon,start,finish
Alajärvi Möksy,101533,63.1,24.3,1957,
Asikkala Pulkkilanharju,101185,61.3,25.5,1991,
Enontekiö Kilpisjärvi Saana,102017,69.0,20.9,1991,
Enontekiö Kilpisjärvi kyläkeskus,102016,69.0,20.8,1951,
Enontekiö Näkkälä,102019,68.6,23.6,1960,
Enontekiö lentoasema,101976,68.4,23.4,1999,
Espoo Nuuksio,852678,60.3,24.6,2014,
Espoo Tapiola,874863,60.2,24.8,2013,
Haapavesi Mustikkamäki,101695,64.1,25.4,1951,
Hailuoto Keskikylä,101776,65.0,24.7,1950,
Halsua Purola,101528,63.4,24.4,1958,
Hammarland Märket,100919,60.3,19.1,1885,
Hanko Tulliniemi,100946,59.8,22.9,1990,
Hanko Tvärminne,100953,59.8,23.2,1962,
Hattula Lepaa,101151,61.1,24.3,1927,
Heinola Asemantaus,101196,61.2,26.0,1908,
Helsinki Kaisaniemi,100971,60.2,24.9,1844,
Helsinki Kumpula,101004,60.2,25.0,2005,
Helsinki Malmi lentokenttä,101009,60.3,25.0,1937,
Helsinki Vuosaari satama,151028,60.2,25.2,2012,
Hyvinkää Hyvinkäänkylä,101130,60.6,24.8,1930,
Hämeenlinna Katinen,101150,61.0,24.5,2001,
Hämeenlinna Lammi Pappila,101154,61.1,25.0,1963,
Ilmajoki Seinäjoki lentoasema,137188,62.7,22.8,2012,
Ilomantsi Mekrijärvi,101651,62.8,31.0,1999,
Inari Angeli Lintupuoliselkä,102026,68.9,25.7,2008,
Inari Ivalo lentoasema,102033,68.6,27.4,1957,
Inari Kaamanen,102047,69.1,27.3,2008,
Inari Kirakkajärvi,102055,69.6,28.9,2009,
Inari Nellim,102052,68.8,28.3,1951,
Inari Raja-Jooseppi Kontiojärvi,102008,68.5,28.3,1960,
Inari Saariselkä Kaunispää,102006,68.4,27.4,1995,
Inari Saariselkä matkailukeskus,102005,68.4,27.4,1976,
Inari Seitalaassa,129963,69.0,27.8,2011,
Inkoo Bågaskär,100969,59.9,24.0,1954,
Joensuu Linnunlahti,101632,62.6,29.7,2008,
Jokioinen Ilmala,101104,60.8,23.5,1928,
Jomala Jomalaby,100917,60.2,20.0,1971,
Jomala Maarianhamina lentoasema,100907,60.1,19.9,1950,
Joutsa Savenaho,101367,61.9,26.1,1946,
Juuka Niemelä,101609,63.2,29.2,1914,
Juupajoki Hyytiälä,101317,61.8,24.3,1956,
Juva Partala,101418,61.9,27.9,1992,
Jyväskylä lentoasema,101339,62.4,25.7,1945,
Jyväskylä lentoasema AWOS,137208,62.4,25.7,1999,
Jyväskylä lentoasema AWOS,137208,62.4,25.7,1999,
Jämsä Halli Lentoasemantie,101338,61.9,24.8,1964,
Jämsä Halli lentoasema,101315,61.9,24.8,1964,
Kaarina Yltöinen,100934,60.4,22.6,1927,
Kajaani Petäisenniska,126736,64.2,27.8,2010,
Kajaani lentoasema,101725,64.3,27.7,1956,
Kalajoki Ulkokalla,101673,64.3,23.4,1876,
Kankaanpää Niinisalo lentokenttä,101291,61.8,22.5,1940,
Karvia Alkkia,101272,62.2,22.8,1966,
Kaskinen Sälgrund,101256,62.3,21.2,1876,
Kauhajoki Kuja-Kokko,101289,62.4,22.2,1986,
Kauhava lentokenttä,101503,63.1,23.0,1931,
Kemi Ajos,101846,65.7,24.5,1973,
Kemi I majakka,101783,65.4,24.1,1978,
Kemi Kemi-Tornio lentoasema,101840,65.8,24.6,1945,
Kemijärvi lentokenttä,101950,66.7,27.2,2006,
Kemiönsaari Kemiö,100951,60.2,22.8,2009,
Kemiönsaari Vänö,100945,59.9,22.2,1990,
Kirkkonummi Mäkiluoto,100997,59.9,24.4,1989,
